front,back,notes
abate,'become less in amount or intensity',verb
abdicate,'give up power or obligations',verb
aberration,'a state or condition markedly different from the norm',noun
abstain,'refrain from doing or partaking in something',verb
adversity,'a state of misfortune or affliction',noun
aesthetic,'characterized by an appreciation of beauty or good taste',adjective
amicable,'characterized by friendship and good will',adjective
anachronistic,'chronologically misplaced',adjective
arid,'lacking sufficient water or rainfall',adjective
asylum,'a shelter from danger or hardship',noun
benevolent,'showing or motivated by sympathy and understanding',adjective
bias,'a partiality preventing objective consideration of an issue',noun
boisterous,'marked by exuberance and high spirits',adjective
brazen,'unrestrained by convention or propriety',adjective
brusque,'rudely abrupt or blunt in speech or manner',adjective
camaraderie,'the quality of affording easy familiarity and sociability',noun
canny,'showing self-interest and shrewdness in dealing with others',adjective
capacious,'large in the amount that can be contained',adjective
capitulate,'surrender under agreed conditions',verb
clairvoyant,'someone who can perceive things not present to the senses',adjective
collaborate,'work together on a common enterprise or project',verb
compassion,'a deep awareness of and sympathy for another's suffering',noun
compromise,'an accommodation in which both sides make concessions',noun
condescending,'characteristic of those who treat others with arrogance',adjective
conditional,'imposing or depending on or containing an assumption',adjective
conformist,'someone who follows established standards of conduct',noun
conundrum,'a difficult problem',noun
convergence,'the act of coming closer',noun
deleterious,'harmful to living things',adjective
demagogue,'a leader who seeks support by appealing to popular passions',noun
digression,'a message that departs from the main subject',noun
diligent,'quietly and steadily persevering in detail or exactness',adjective
discredit,'the state of being held in low esteem',verb
disdain,'lack of respect accompanied by a feeling of intense dislike',noun
divergent,'tending to move apart in different directions',adjective
empathy,'understanding and entering into another's feelings',noun
emulate,'strive to equal or match especially by imitating',verb
enervating,'causing weakness or debilitation',adjective
ephemeral,'anything short-lived; as an insect that lives only for a day',adjective
evanescent,'short-lived; tending to vanish or disappear',adjective
exemplary,'worthy of imitation',adjective
extenuating,'partially excusing or justifying',adjective
florid,'elaborately or excessively ornamented',adjective
forbearance,'a delay in enforcing rights or claims or privileges',noun
fortitude,'strength of mind that enables one to endure adversity',noun
fortuitous,'lucky; occurring by happy chance',adjective
foster,'providing nurture though not related by blood or legal ties',verb
fraught,'filled with or attended with',adjective
frugal,'avoiding waste',adjective
hackneyed,'repeated too often; overfamiliar through overuse',adjective
haughty,'having or showing arrogant superiority',adjective
hedonist,'someone motivated by desires for sensual pleasures',noun
hypothesis,'a tentative insight that is not yet verified or tested',noun
impetuous,'characterized by undue haste and lack of thought',adjective
impute,'attribute or credit to',verb
inconsequential,'lacking worth or importance',adjective
inevitable,'incapable of being avoided or prevented',adjective
intrepid,'invulnerable to fear or intimidation',adjective
intuitive,'spontaneously derived from or prompted by a natural tendency',adjective
jubilation,'a feeling of extreme joy',noun
lobbyist,'someone who is employed to persuade how legislators vote',noun
longevity,'the property of having lived for a considerable time',noun
mundane,'found in the ordinary course of events',adjective
nonchalant,'marked by casual unconcern or indifference',adjective
opulent,'rich and superior in quality',adjective
orator,'a person who delivers a speech',noun
ostentatious,'intended to attract notice and impress others',adjective
parched,'extremely thirsty',adjective
perfidious,'tending to betray',adjective
pragmatic,'concerned with practical matters',adjective
precocious,'characterized by exceptionally early development',adjective
pretentious,'creating an appearance of importance or distinction',adjective
procrastinate,'postpone doing what one should be doing',verb
prosaic,'lacking wit or imagination',adjective
prosperity,'the condition of having good fortune',noun
provocative,'serving or tending to excite or stimulate',adjective
prudent,'marked by sound judgment',adjective
querulous,'habitually complaining',adjective
rancorous,'showing deep-seated resentment',adjective
reclusive,'withdrawn from society; seeking solitude',adjective
reconciliation,'the reestablishment of cordial relations',noun
renovation,'the act of improving by renewing and restoring',noun
restrained,'under control',adjective
reverence,'a feeling of profound respect for someone or something',noun
sagacity,'the trait of having wisdom and good judgment',adjective
scrutinize,'examine carefully for accuracy',verb
spontaneous,'said or done without having been planned in advance',adjective
spurious,'plausible but false',adjective
submissive,'inclined or willing to give in to orders or wishes of others',adjective
substantiate,'establish or strengthen as with new evidence or facts',verb
subtle,'difficult to detect or grasp by the mind or analyze',adjective
superficial,'affecting or being on or near the surface',adjective
superfluous,'more than is needed or required',adjective
surreptitious,'marked by quiet and caution and secrecy',adjective
tactful,'having a sense of what is considerate in dealing with others',adjective
tenacious,'stubbornly unyielding',adjective
transient,'lasting a very short time',adjective
venerable,'profoundly honored',adjective
vindicate,'show to be right by providing justification or proof',verb
wary,'marked by keen caution and watchful prudence',adjective
